reviewContent,name,rating
bagus mantap dah sesui pesanan,Kamal U.,5.0
bagus sesuai foto,yofanca m.,4.0
okkkkk mantaaaaaaapppp goood,Lazada Customer,5.0
bagus sesuai,Lazada Customer,4.0
bima,nurfarida,1.0
baru 10 bulan layarnya dah bergaris,Fadjar B.,1.0
pesan rabu sore minggu sore sampe barang sesuai specs mantab tks lazada,agung p.,5.0
mau tanya ini cicilnya pake apa ya cc bkn,Lazada Guest,1.0
apakah tv tsb suda ada anti gores,Yan M.,5.0
pengirim barang tidak sesuai janji katanya express 1 hari dari hari jumat barang sampai hari rabu semoga barangnya awet saja,Andry M.,1.0
kualitas ok,Leonard,4.0
bagaimana tv led saya merek sharp 24 hitam lc 24le170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya so alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih,Lazada Guest,1.0
pengiriman super lama tapi datang juga sich,Bun D.,3.0
ok barang sampai dengan baik smoga terus di pertahankan,Fadoli,5.0
kalau mau cicilan gmna cra nya,Lazada Guest,5.0
barang sudah sampai dan bagus thanks lazada,Fitriyansah E.,5.0
pengiriman cepat sipplahhh,Lazada Guest,5.0
sampe sekarang masih ok ne laptop,Lazada Customer,5.0
pengiriman cepat packaging good barang oke thnks seller thnks lazada,Lazada Guest,5.0
barang diterima dengan selamat produk sesuai dengan deskripsi barang nyape 3 hari ke pekanbaru riau terimakasih lazada dan kotakom pucang laptopnya mantap,Amarullah,5.0
senang belanja disini pelayanan oke barang sesuai ekspektasi order senin hari selasa malam udah nyampe di settingin sxan sama kurirnya pokoknya top deh thanks lazada,Dwi,5.0
belum test barangnya,Rosalina S.,4.0
sudah cape2 transfer tapi pesanan ditolak,Wan D.,1.0
barang ok kualitas bagus dengan harga yg cukup miring kualitas gambar juga ok pengiriman lumayan ga nyesel pokonya beli tv ini,Anggun W.,5.0
saya minat tapi kalau dikirim ke gresik jawa timur bisa gak klo dr info pengiriman bebas tapi takut gk sampai dan tanya apa ini sdh full hd apa blm terima kasih,Fathin,5.0
pengn tivinya,Eti A.,4.0
mantapppp barang nya,Lazada Guest,5.0
barang mulusss mantapppppp,Lazada Guest,3.0
laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat di judul dikatakan core i7,Fuady S.,1.0
barang sampai dengan aman kemampuan laptop sesuai dengan yang di iklankan hanya saja laptop datang dengan dos sehingga harus di install sendiri windows nya overall it s worth the money,Ramadhana,5.0
barang sampai 2 hari dengan selamat dan sesuai deskripsi,Jendra,5.0
harga sangat murah mantep banget,Ade P.,5.0
murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,Lazada Guest,3.0
barang udah sampai tapi pas dinyalain g bisa gmn pertanggung jawaban lazada,Lazada Guest,1.0
klo dp1jt tanpa kartu kredit bisa gk brp bln pembayarannya dan sebulannya brp terimaksh,Lazada Guest,4.0
untuk pemasangan di tembok apa ad pihak dari lazada yg memasang a terima kasih,Lazada Guest,1.0
kapasitas hdd asli 1 tb dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya,Yoga T.,5.0
barang sesuai dengan gambar,Heri K.,5.0
hd diterima dg packing bubble bagus hanya tidak tertulis barang elektronik atw keterangan lain agar penanganan lebih hati2 dan istimewa ketika paket dalam perjalanan finally 4bintang lhah,Lazada Guest,4.0
mantap gan barang sampai dengan selamat packing rapih pokok mantap lah,ACHMAD F.,5.0
oke,Bilqis,5.0
saya sangat puas dengan barang nya kualitas barang sangat membantu hdd saya apabila jatuh dari atas dan pengiriman rapi gk ada lecet kasih bintang 5 dan saya sangat tidak puas dengan peng,Dimas D.,5.0
barang diterima dengan kondisi yang baik tapi packagingnya kurang,Pembeli,4.0
suka banget sama barangnya packing nya rapi pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini,KHAIRUNNISA.SYAN,5.0
flashdisk ori packing bagus saya suka thx,Antonio G.,5.0
aman cepat pula,Lazada Customer,5.0
bagus ori kok cuma hanya aja 58 gb klo 63 gpp hilang 1 gb,Lazada Customer,4.0
kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,Ririn S.,1.0
baguss bangett kurir nya jga ramah cakep pula wkwk ini 64gb tp cmn 58 sekian gb tp gpp lah yah pokok nya recomended deh,Asrinur A.,5.0
produk dah sampai kemasan rapih pengiriman cepat barang bagus pembayaran cod tidak perlu diragukan lagi,ucen W.,5.0
barangnya bagus banget sesuai dengan gambar dn deskripsi pengiriman cepat bagus dn recomended bangt,ucen W.,5.0
packing tanpa bubble warp fisik no minus cuma 58 gb bukan 64 ya lumayan,Andre A.,5.0
barang ok packing rapii kurir nya ramahh puass,Hendrii R.,5.0
produk original mantap semoga awet,muchamad R.,5.0
baik sesuai ekspektasi,Budi,5.0
,Lazada Customer,5.0
barang nya oke makasih,Lazada Customer,5.0
tumben ninja cepat pengirimannya,Ahmad K.,5.0
barang asli dan original terimakasih maju terus toko jet store,ganirogy,5.0
flashdisk nya bagus sesuai picture barang cepat sampai kurir ramah,Fadhila U.,5.0
oke mudah2an awet dan ga crash belum sempet d coba,ferry P.,5.0
kapasitas cuma 58 gb ajaaaaa huft,wisnu D.,5.0
katanya 64 gb nyatanya cuman 58 gb,Lazada Customer,4.0
thks ya barang sdh sampai smga cocok,Irine S.,5.0
siippp thank lazada,Winarso Y.,5.0
udah di trima barang ok moga awet,Irman A.,5.0
josss tenan,Indra S.,5.0
ini ori bagus tahan lama masih saya pake,Recvy,5.0
kampret kaga kebaca,Sucipto B.,1.0
barang bagus quick respon hari ini pesan besok sudah sampai,Lazada Customer,5.0
brang cukup bagus,Tarmudi,5.0
sip mantap,Lazada Customer,5.0
bagus ori,Pupung A.,5.0
real good,Aobhie H.,5.0
bagus,Ketut W.,5.0
good,abdul M.,5.0
pengiriman sangat lama tgl 19 di pesan tgl 22 barang baru dikemas tgl 23 baru diambil ekspedisi tgl 25 baru sampai masih dijabotabek tapi lama,Lazada Customer,2.0
barang tanpa kemasan tanpa pelindung apapun hanya dus tv saja liat dusnya sobek dikit sudah mulai curiga kayaknya pecah ini eeeeellllaaaa pas dibuka pecah beneran bad seller bener bener bad seller mau untung aja tanpa peduli keadaan produk kalo gak ada untung n pelit pakingan ya jgn jualan barang sudah retur mudah mudahan barangnya cepat di kirim lg d,hadiyanto,1.0
barang diterima pada hari akhir yg dijadwalkan yaitu malam hari kondisi barang terlindungi dengan packing bawaan unit kualitas unit adalah kualitas sharp semoga awet bila unit ini dikirim dari gudang lazada di bogor mestinya bisa lebih cpt tiba bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di bogor,Fajar H.,4.0
masukan saja klo bisa packingnya jangan asal dikasih buble wrap minimal ini cuma dipacking pakai plastik biasa sempet khawatir pecah tpi untung gk terjadi,aryanto,4.0
