reviewContent,name,klasifikasi
bagus mantap dah sesui pesanan,Kamal U.,Positive
bagus sesuai foto,yofanca m.,Positive
okkkkk mantaaaaaaapppp goood,Lazada Customer,Positive
bagus sesuai,Lazada Customer,Positive
bima,nurfarida,Negative
baru 10 bulan layarnya dah bergaris,Fadjar B.,Negative
pesan rabu sore minggu sore sampe barang sesuai specs mantab tks lazada,agung p.,Positive
mau tanya ini cicilnya pake apa ya cc bkn,Lazada Guest,Negative
apakah tv tsb suda ada anti gores,Yan M.,Positive
pengirim barang tidak sesuai janji katanya express 1 hari dari hari jumat barang sampai hari rabu semoga barangnya awet saja,Andry M.,Negative
kualitas ok,Leonard,Positive
bagaimana tv led saya merek sharp 24 hitam lc 24le170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya so alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih,Lazada Guest,Negative
pengiriman super lama tapi datang juga sich,Bun D.,Neutral
ok barang sampai dengan baik smoga terus di pertahankan,Fadoli,Positive
kalau mau cicilan gmna cra nya,Lazada Guest,Positive
barang sudah sampai dan bagus thanks lazada,Fitriyansah E.,Positive
pengiriman cepat sipplahhh,Lazada Guest,Positive
sampe sekarang masih ok ne laptop,Lazada Customer,Positive
pengiriman cepat packaging good barang oke thnks seller thnks lazada,Lazada Guest,Positive
barang diterima dengan selamat produk sesuai dengan deskripsi barang nyape 3 hari ke pekanbaru riau terimakasih lazada dan kotakom pucang laptopnya mantap,Amarullah,Positive
senang belanja disini pelayanan oke barang sesuai ekspektasi order senin hari selasa malam udah nyampe di settingin sxan sama kurirnya pokoknya top deh thanks lazada,Dwi,Positive
belum test barangnya,Rosalina S.,Positive
sudah cape2 transfer tapi pesanan ditolak,Wan D.,Negative
barang ok kualitas bagus dengan harga yg cukup miring kualitas gambar juga ok pengiriman lumayan ga nyesel pokonya beli tv ini,Anggun W.,Positive
saya minat tapi kalau dikirim ke gresik jawa timur bisa gak klo dr info pengiriman bebas tapi takut gk sampai dan tanya apa ini sdh full hd apa blm terima kasih,Fathin,Positive
pengn tivinya,Eti A.,Positive
mantapppp barang nya,Lazada Guest,Positive
barang mulusss mantapppppp,Lazada Guest,Neutral
laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat di judul dikatakan core i7,Fuady S.,Negative
barang sampai dengan aman kemampuan laptop sesuai dengan yang di iklankan hanya saja laptop datang dengan dos sehingga harus di install sendiri windows nya overall it s worth the money,Ramadhana,Positive
barang sampai 2 hari dengan selamat dan sesuai deskripsi,Jendra,Positive
harga sangat murah mantep banget,Ade P.,Positive
murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,Lazada Guest,Neutral
barang udah sampai tapi pas dinyalain g bisa gmn pertanggung jawaban lazada,Lazada Guest,Negative
klo dp1jt tanpa kartu kredit bisa gk brp bln pembayarannya dan sebulannya brp terimaksh,Lazada Guest,Positive
untuk pemasangan di tembok apa ad pihak dari lazada yg memasang a terima kasih,Lazada Guest,Negative
kapasitas hdd asli 1 tb dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya,Yoga T.,Positive
barang sesuai dengan gambar,Heri K.,Positive
hd diterima dg packing bubble bagus hanya tidak tertulis barang elektronik atw keterangan lain agar penanganan lebih hati2 dan istimewa ketika paket dalam perjalanan finally 4bintang lhah,Lazada Guest,Positive
mantap gan barang sampai dengan selamat packing rapih pokok mantap lah,ACHMAD F.,Positive
oke,Bilqis,Positive
